code,name,category,description,status,condition
E100,Куркумины,Красители,"Куркумины (Curcumins), Куркумин (Curcumin). Натуральнный краситель из Curcuma longa и других видов. Турмерик (Turm- meric) - порошок корневища куркумы. Халяль.",halal,
E101,Рибофлавины,Красители,"Рибофлавины (Riboflavins), Рибофлавин (Riboflavin). Наттриевая соль рибофлавин 5-фосфат (Riboflavin 5-phosphate sodi- ium). Краситель. Халяль.",halal,
E102,Тартразин,Красители,"Тартразин (Tartrazine). Краситель. Халяль.",halal,
E103,Алканет, Красители,"Алканет, Алканин (Alkanet). Краситель. Халяль.",halal,
E104,Желтый хинолиновый,Красители,"Желтый хинолиновый (Quinoline Yellow). Краситель. Халляль.",undefined,
E107,Желтый 2G,Красители,"Желтый 2G (Yellow 2G). Краситель. Халяль.",halal,
E110,Желтый «солнечный закат»,Красители,"Желтый «солнечный закат» (Sunset Yellow FCF). Краситтель. Халяль.",halal,
E120,Кармины,Красители,"Кармины (Carmines). Краситель. Харам. Производится из насекомых.",haram,
E122,Азорубин,Красители,"Азорубин, Кармуазин (Azorubine). Краситель. Халяль.",halal,
E124,Понсо 4R,Красители,"Понсо 4R, Пунцовый 4R (Ponceau 4R). Краситель. Халляль.",undefined,
E128,Красный 2G,Красители,"Красный 2G (Red 2G). Краситель. Халяль.",halal,
E129,Красный очаровательный АС,Красители,"Красный очаровательный АС (Allura red AC). Краситель. Халяль.",halal,
E131,Синий патентованный V,Красители,"Синий патентованный V (Patent blue V). Краситель. Халляль.",undefined,
E132,Индигокармин,Красители,"Индигокармин (Indigotine). Краситель. Сомнительное. Может быть животного происхождения.",suspicious,
E133,Синий блестящий FCF,Красители,"Синий блестящий FCF, бриллиантовый голубой FCF (Bri- illiant blue FCF). Краситель. Халяль.",halal,
E140,Хлорофилл,Красители,"Хлорофилл (Сhlоrорhill). Краситель. Халяль.",halal,
E141,Хлорофилла медные комплексы,Красители,"Хлорофилла медные комплексы (Copper Chlorophylls), Хлорофилла комплекс медный (Chlorophyll copper complex), Медного комплекса хлорофиллина натриевая и калиевая соли (Chlorophyllin copper complex, sodium and potassium salts). Красситель. Халяль.",halal,
E142,Зеленый S,Красители,"Зеленый S (Green S). Краситель. Халяль.",halal,
E143,Зеленый прочный FCF,Красители,"Зеленый прочный FCF (Fast green FCF). Краситель. Халляль.",undefined,
E150A,Сахарный колер I простой,Красители,"Сахарный колер I простой (Caramel I - Plain). Краситель. Халяль.",halal,
E150B,Сахарный колер II,Красители,"Сахарный колер II, полученный по «щелочно-сульфитнной» технологии (Caramel II - Caustic sulphite process). Краситтель. Халяль.",halal,
E150C,Сахарный колер III,Красители,"Сахарный колер III, полученный по «аммиачной» техноллогии (Caramel III - Ammonia process). Краситель. Халяль.",halal,
E150D,Сахарный колер IV,Красители,"Сахарный колер IV, полученный по «аммиачно-сульфитнной» технологии (Caramel IV - Ammonia-sulphite process). Красситель. Халяль.",halal,
E151,Черный блестящий PN,Красители,"Черный блестящий PN, бриллиантовый черный PN (Brillia- ant black PN). Краситель. Халяль.",halal,
E152,Уголь,Красители,"Уголь (Carbon black (hydrocarbon). Краситель. Халяль.",halal,
E153,Уголь растительный,Красители,"Уголь растительный (Vegetable carbon). Краситель. Халляль.",undefined,
E155,Коричневый HT,Красители,"Коричневый HT (Brown HT). Краситель. Халяль.",halal,
E160A,Каротины,Красители,"Каротины (Carotenes). Бета-Каротин синтетический (Beta-carotene synthetic). Экстракты натуральных каротинов (Nat- tural extracts). Краситель. Халяль.",halal,
E160B,Аннато экстракты,Красители,"Аннато экстракты (Annato extracts). Краситель. Халяль.",halal,
E160C,Маслосмолы паприки,Красители,"Маслосмолы паприки (Paprika oleoresins). Краситель. Халяль.",halal,
E160D,Ликопин,Красители,"Ликопин (Lycopene). Краситель. Халяль.",halal,
E160E,бета-Апокаротиновый альдегид,Красители,"бета-Апокаротиновый альдегид (Beta-apo-carotenal). Краситель. Халяль.",halal,
E160F,бета-апо-8-каротиновой кислоты метиловый,Красители,"бета-апо-8-каротиновой кислоты метиловый или этиловвый эфиры (Beta-apo-8@-carotenoic Acid, Methyl or ethyl ester). Краситель. Халяль.",halal,
E161A,Флавоксантин,Красители,"Флавоксантин (Flavoxanthin). Краситель. Халяль.",halal,
E161B,Лютеин,Красители,"Лютеин (Lutein). Краситель. Халяль.",halal,
E161C,Криптоксантин,Красители,"Криптоксантин (Kryptoxanthin). Краситель. Халяль.",halal,
E161D,Рубиксантин,Красители,"Рубиксантин (Rubixanthin). Краситель. Халяль.",halal,
E161E,Виолоксантин,Красители,"Виолоксантин (Violoxanthin). Краситель. Халяль.",halal,
E161F,Родоксантин,Красители,"Родоксантин (Rhodoxanthin). Краситель. Халяль.",halal,
E161G,Кантаксантин,Красители,"Кантаксантин (Canthaxanthin). Краситель. Халяль.",halal,
E162,Красный свекольный,Красители,"Красный свекольный (Веет red). Краситель. Халяль.",halal,
E163,Антоцианы,Красители,"Антоцианы (Anthocyanins), Экстракт из кожицы винограда (Grape skin extract), Экстракт из черной смородины (Blackcurrant extract). Краситель. Халяль.",halal,
E170,Карбонаты кальция,Красители,"Карбонаты кальция (Calcium carbonates), Карбонат кальцция (Calcium carbonate), Гидрокарбонат кальция (Calcium hydrog- gen carbonate). Поверхностный краситель, добавка, препятствующая слеживанию и комкованию, стабилизатор. Халяль.",halal,
E171,Диоксид титана,Красители,"Диоксид титана (Titanium dioxide). Краситель. Халяль.",halal,
E172,Оксиды железа,Красители,"Оксиды железа (Iron oxides), Оксид железа (+2,+3), Чернная (Iron oxide, black), Оксид железа (+3), Красная (Iron oxide, red), Желтая (Iron oxide, yellow). Краситель. Халяль.",halal,
E174,Серебро,Красители,"Серебро (Silver). Краситель. Халяль.",halal,
E175,Золото,Красители,"Золото (Gold). Краситель. Халяль.",halal,
E181,Танины пищевые,Красители,"Танины пищевые (Tannins, food grade). Краситель, стабиллизатор, эмульгатор. Халяль.",halal,
E182,Орсейл,Красители,"Орсейл, Орсин (Orchil). Краситель. Халяль. * * *",halal,
E200,Сорбиновая кислота,Консерванты,"Сорбиновая кислота (Sorbic acid)",halal,
E201,Сорбат натрия,Консерванты,"Сорбат натрия (Sodium sorbate)",halal,
E202,Сорбат калия,Консерванты,"Сорбат калия (Potassium sorbate)",halal,
E203,Сорбат кальция,Консерванты,"Сорбат кальция (Calcium sorbate)",halal,
E209,Пара-оксибензойной кислоты гептиловый эфир,Консерванты,"Пара-оксибензойной кислоты гептиловый эфир (Heptyl p-Hydroxybenzoate)",halal,
E210,Бензойная кислота,Консерванты,"Бензойная кислота (Benzoic Acid)",halal,
E211,Бензоат натрия,Консерванты,"Бензоат натрия (Sodium benzoate)",halal,
E212,Бензоат калия,Консерванты,"Бензоат калия (Potassium benzoate)",undefined,
E213,Бензоат кальция,Консерванты,"Бензоат кальция (Calcium benzoate)",undefined,
E214,Пара-Оксибензойной кислоты этиловый эфир,Консерванты,"Пара-Оксибензойной кислоты этиловый эфир (Ethyl p-Hydroxybenzoate)",halal,
E215,Пара-Оксибензойной кислоты этилового эфира натриевая соль,Консерванты,"Пара-Оксибензойной кислоты этилового эфира натриевая соль (Sodium ethyl p-Hydroxybenzoate)",halal,
E218,Пара-Оксибензойной кислоты метиловый эфир,Консерванты,"Пара-Оксибензойной кислоты метиловый эфир (Methyl p-Hydroxybenzoate)",halal,
E219,Пара-Оксибензойной кислоты метилового эфира натриевая соль,Консерванты,"Пара-Оксибензойной кислоты метилового эфира натриевая соль (Sodium methyl p-Hydroxybenzoate)",undefined,
E220,Диоксид серы,Консерванты,"Диоксид серы (Sulphur dioxide)",halal,
E221,Сульфит натрия,Консерванты,"Сульфит натрия (Sodium sulphite)",halal,
E222,Гидросульфит натрия,Консерванты,"Гидросульфит натрия (Sodium hydrogen sulphite)",halal,
E223,Пиросульфит натрия,Консерванты,"Пиросульфит натрия (Sodium metabisulphite)",halal,
E224,Пиросульфит калия,Консерванты,"Пиросульфит калия (Potassium metabisulphit)",halal,
E225,Сульфит калия,Консерванты,"Сульфит калия (Potassium sulphite)",halal,
E226,Сульфит кальция,Консерванты,"Сульфит кальция (Calcium sulphite)",halal,
E227,Гидросульфит кальция,Консерванты,"Гидросульфит кальция (Calcium hydrogen sulphite)",halal,
E228,Гидросульфит калия,Консерванты,"Гидросульфит (бисульфит) калия (Potassium bisulphite)",halal,
E230,Дифенил,Консерванты,"Дифенил (Diphenyl)",halal,
E231,Орто-Фенилфенол,Консерванты,"Орто-Фенилфенол (orto-phenylphenol)",undefined,
E232,Орто-Фенилфенола натриевая соль,Консерванты,"Орто-Фенилфенола натриевая соль (О-Phenylphenol Sodium)",halal,
E234,Низин,Консерванты,"Низин (Nisin)",halal,
E235,Пимарицин,Консерванты,"Пимарицин, Натамицин (Pimaricin, natamycin)",halal,
E236,Муравьиная кислота,Консерванты,"Муравьиная кислота (Formic acid)",halal,
E237,Формиат натрия,Консерванты,"Формиат натрия (Sodium formate)",halal,
E238,Формиат кальция,Консерванты,"Формиат кальция (Calcium formate)",halal,
E239,Гексаметилентетрамин,Консерванты,"Гексаметилентетрамин (Hexamethylene tetramine)",halal,
E241,Гваяковая камедь,Консерванты,"Гваяковая камедь (ОЦМ guaicum)",halal,
