Number;Name;Description;Halal Status
E100;Curcumin/Turmeric;Color; Halal if pure grind turmeric powder or granular. Mushbooh if used as liquid, the solvents has to be Halal. Haraam if hidden ingredient is pork fat based emulsifier in dry mix.
E101;Riboflavin (Vitamin B2);Color;Mushbooh (Haraam if from pork liver & Kidney, Halal if 100% plant material
E102;Tartrazine;Color;Halal if used as 100% dry color. Mushbooh if used as liquid color, the solvent has to be Halal
E104;Quinoline Yellow;Color;Halal if used as 100% dry color. Mushbooh if used as liquid color, the solvent other than water has to be Halal
E110;Sunset Yellow FCF / Orange Yellow S;Color;Halal if used as 100% dry color. Mushbooh if used as liquid color, the solvent has to be Halal
E120;Cochineal / Carminic Acid;Color;Haraam according to Hanafi Fiqqah
E122;Carmoisine / Azorubine;Color;Halal if used as 100% dry color. Mushbooh if used as liquid color, the solvent has to be Halal
E123;Amaranth;Color;Halal if used as 100% dry color. Mushbooh if used as liquid color, the solvent has to be Halal
E124;Ponceau 4R / Cochineal Red A;Color;Halal if used as 100% dry color. Mushbooh if used as liquid color, the solvent has to be Halal
E127;Erythrosine BS;Color;Halal if used as 100% dry color. Mushbooh if used as liquid color, the solvent has to be Halal
E131;Patent Blue V;Color;Halal if used as 100% dry color. Mushbooh if used as liquid color, the solvent has to be Halal
E132;Indigo Carmine / Idigotine;Color;Halal if use as is as a 100% synthetic color  but if pork glycerin is added as a solvent then it is Haraam
E140;Chlorophyll;Color;Halal if use 100% powder or Halal if water or vegetable oil was used as a solvent
E141;Copper Complex of Chlorophyll;Color;Halal if use 100% powder or Halal if water or vegetable oil was used as a solvent
E142;Green S / Acid Brilliant Green BS;Color;Halal if used as 100% dry color. Mushbooh if used as liquid color, the solvent has to be Halal
E150(a-d);Caramel Color/with chemicals;Color;Halal
E151;Black PN / Brilliant Black BN;Color;Halal if used as 100% dry color. Mushbooh if used as liquid color, the solvent has to be Halal
E153;Carbon Black / Vegetable Carbon (Charcoal);Color;Halal if used as 100% dry color. Mushbooh if used as liquid color, the solvent has to be Halal
E160a;Alpha, Beta, Gamma;Color - Carotene;Halal if used as 100% dry color. Mushbooh if used as liquid color, the solvent has to be Halal  
E160b;Annatto, Bixin, Norbixin;Color - Carotene;Halal
E160c;Capsanthin / Capsorbin;Color- Carotene;Halal if used as 100% dry color. Mushbooh if used as liquid color, the solvent has to be Halal  
E160d;Lycopene;Color - Carotene;Halal if used as 100% dry color. Mushbooh if used as liquid color, the solvent has to be Halal
E160e;Beta-apo-8-carotenal;Color - Carotene;Halal if used as 100% dry powder or granular or Halal if vegetable oil is used as a solvent in liquid form as a hidden ingredient. Haraam if pork gelatin is used as hidden ingredient or carrier
E160f;Ethyl ester of Beta-apo-8-cartonoic acid;Color - Carotene;Halal if used as 100% dry powder or granular or Halal if vegetable oil is used as a solvent in liquid form as a hidden ingredient. Haraam if pork gelatin is used as hidden ingredient or carrier  
E161a;Flavoxanthin;Color;Halal if used as 100% dry color. Mushbooh if used as liquid color, the solvent has to be Halal  
E161b;Lutein;Color;Halal if used as 100% dry powder or granular. Haraam if pork gelatin or pork glycerin is added in dry or liquid form
E161c;Cryptoxanthin;Color;Halal if used as 100% dry color. Mushbooh if used as liquid color, the solvent has to be Halal  
E161d;Rubixanthin;Color;Halal if used as 100% dry color. Mushbooh if used as liquid color, the solvent has to be Halal  
E161e;Violaxanthin;Color;Halal if used as 100% dry color. Mushbooh if used as liquid color, the solvent has to be Halal  
E161f;Rhodoxanthin;Color;Halal if used as 100% dry color. Mushbooh if used as liquid color, the solvent has to be Halal  
E161g;Canthaxanthin;Color;Halal if used as 100% dry color. Mushbooh if used as liquid color, the solvent has to be Halal  
E162;Beetroot Red / Betanin;Color;Halal if used as 100% dry color. Mushbooh if used as liquid color, the solvent has to be Halal    
E163;Anthocyanins;Color;Halal if used as 100% dry color. Mushbooh if used as liquid color, the solvent has to be Halal  
E170;Calcium Carbonate (Chalk);Color - Inorganic;Halal if obtained from rock mineral and used as 100% dry powder or granular. Mushbooh if used as liquid, solvent has to be Halal
E171;Titanium Dioxide;Color - Inorganic; Halal
E172;Iron Oxides and Hydroxides;Color - Inorganic; Halal
E173;Aluminium;Color - Inorganic; Halal
E174;Silver;Color - Inorganic; Halal
E175;Gold;Color - Inorganic; Halal 
E180;Pigment Rubine / Lithol Rubine BK;Color - Inorganic;Halal if used as 100% dry color. Mushbooh if used as liquid color, the solvent has to be Halal    
E200;Sorbic Acid;Preservative; Halal
E201;Soduim Sorbate;Preservative; Halal
E202;Potassium Sorbate;Preservative; Halal
E203;Calcium Sorbate;Preservative; Halal
E210;Benzoic Acid;Preservative; Halal
E211;Sodium Benzoate;Preservative; Halal
E212;Potassium Benzoate;Preservative; Halal
E213;Calcium Benzoate;Preservative; Halal, if calcium obtained from mineral, Mushbooh if it is obtained from bones.
E214;Ethyl 4-hydroxybenzoate;Preservative;Halal, if used as 100% dry powder or granular. Haraam if alcohol is used as a solvent
E215;Ethyl 4-hydroxybenzoate, Sodium Salt;Preservative;Halal, if used as 100% dry powder or granular. Haraam if alcohol is used as a solvent
E216;Propyl 4-hydroxybenzoate;Preservative;Halal, if used as 100% dry powder or granular. Haraam if alcohol is used as a solvent
E217;Propyl 4-hydroxybenzoate, Sodium Salt;Preservative;Halal, if used as 100% dry powder or granular. Haraam if alcohol is used as a solvent
E218;Methyl 4-hydroxybenzoate;Preservative;Halal, if used as 100% dry powder or granular. Haraam if alcohol is used as a solvent
E219;Methyl 4-hydroxybenzoate, Sodium Salt;Preservative;Halal, if used as 100% dry powder or granular. Haraam if alcohol is used as a solvent
E220;Sulphur Dioxide;Preservative; Halal
E221;Sodium Sulphite;Preservative; Halal
E222;Sodium Hydrogen Sulphite;Preservative; Halal
E223;Sodium Metabisulphite;Preservative; Halal
E224;Potassium Metabisulphite;Preservative; Halal
E226;Calcium Sulphite;Preservative; Halal
E227;Calcium Hydrogen Sulphite;Preservative; Halal, if calcium is obtained from mineral or chemicals. Mushbooh if it is obtained from bones.
