Code;Name;Category;Description;Status
E100;;Красители;Куркумины (Curcumins), Куркумин (Curcumin). Натуральнный краситель из Curcuma longa и других видов. Турмерик (Turm- meric) - порошок корневища куркумы. Халяль.;Халяль
E101;;Красители;Рибофлавины (Riboflavins), Рибофлавин (Riboflavin). Наттриевая соль рибофлавин 5-фосфат (Riboflavin 5-phosphate sodi- ium). Краситель. Халяль.;Халяль
E102;;Красители;Тартразин (Tartrazine). Краситель. Халяль.;Халяль
E103;;Красители;Алканет, Алканин (Alkanet). Краситель. Халяль.;Халяль
E104;;Красители;Желтый хинолиновый (Quinoline Yellow). Краситель. Халляль.;Не определено
E107;;Красители;Желтый 2G (Yellow 2G). Краситель. Халяль.;Халяль
E110;;Красители;Желтый «солнечный закат» (Sunset Yellow FCF). Краситтель. Халяль.;Халяль
E120;;Красители;Кармины (Carmines). Краситель. Харам. Производится из насекомых.;Харам
E122;;Красители;Азорубин, Кармуазин (Azorubine). Краситель. Халяль.;Халяль
E124;;Красители;Понсо 4R, Пунцовый 4R (Ponceau 4R). Краситель. Халляль.;Не определено
E128;;Красители;Красный 2G (Red 2G). Краситель. Халяль.;Халяль
E129;;Красители;Красный очаровательный АС (Allura red AC). Краситель. Халяль.;Халяль
E131;;Красители;Синий патентованный V (Patent blue V). Краситель. Халляль.;Не определено
E132;;Красители;Индигокармин (Indigotine). Краситель. Сомнительное. Может быть животного происхождения.;Сомнительное
E133;;Красители;Синий блестящий FCF, бриллиантовый голубой FCF (Bri- illiant blue FCF). Краситель. Халяль.;Халяль
E140;;Красители;Хлорофилл (Сhlоrорhill). Краситель. Халяль.;Халяль
E141;;Красители;Хлорофилла медные комплексы (Copper Chlorophylls), Хлорофилла комплекс медный (Chlorophyll copper complex), Медного комплекса хлорофиллина натриевая и калиевая соли (Chlorophyllin copper complex, sodium and potassium salts). Красситель. Халяль.;Халяль
E142;;Красители;Зеленый S (Green S). Краситель. Халяль.;Халяль
E143;;Красители;Зеленый прочный FCF (Fast green FCF). Краситель. Халляль.;Не определено
E150A;;Красители;Сахарный колер I простой (Caramel I - Plain). Краситель. Халяль.;Халяль
E150B;;Красители;Сахарный колер II, полученный по «щелочно-сульфитнной» технологии (Caramel II - Caustic sulphite process). Краситтель. Халяль.;Халяль
E150C;;Красители;Сахарный колер III, полученный по «аммиачной» техноллогии (Caramel III - Ammonia process). Краситель. Халяль.;Халяль
E150D;;Красители;Сахарный колер IV, полученный по «аммиачно-сульфитнной» технологии (Caramel IV - Ammonia-sulphite process). Красситель. Халяль.;Халяль
E151;;Красители;Черный блестящий PN, бриллиантовый черный PN (Brillia- ant black PN). Краситель. Халяль.;Халяль
E152;;Красители;Уголь (Carbon black (hydrocarbon). Краситель. Халяль.;Халяль
E153;;Красители;Уголь растительный (Vegetable carbon). Краситель. Халляль.;Не определено
E155;;Красители;Коричневый HT (Brown HT). Краситель. Халяль.;Халяль
E160A;;Красители;Каротины (Carotenes). Бета-Каротин синтетический (Beta-carotene synthetic). Экстракты натуральных каротинов (Nat- tural extracts). Краситель. Халяль.;Халяль
E160B;;Красители;Аннато экстракты (Annato extracts). Краситель. Халяль.;Халяль
E160C;;Красители;Маслосмолы паприки (Paprika oleoresins). Краситель. Халяль.;Халяль
E160D;;Красители;Ликопин (Lycopene). Краситель. Халяль.;Халяль
E160E;;Красители;бета-Апокаротиновый альдегид (Beta-apo-carotenal). Краситель. Халяль.;Халяль
E160F;;Красители;бета-апо-8-каротиновой кислоты метиловый или этиловвый эфиры (Beta-apo-8@-carotenoic Acid, Methyl or ethyl ester). Краситель. Халяль.;Халяль
E161A;;Красители;Флавоксантин (Flavoxanthin). Краситель. Халяль.;Халяль
E161B;;Красители;Лютеин (Lutein). Краситель. Халяль.;Халяль
E161C;;Красители;Криптоксантин (Kryptoxanthin). Краситель. Халяль.;Халяль
E161D;;Красители;Рубиксантин (Rubixanthin). Краситель. Халяль.;Халяль
E161E;;Красители;Виолоксантин (Violoxanthin). Краситель. Халяль.;Халяль
E161F;;Красители;Родоксантин (Rhodoxanthin). Краситель. Халяль.;Халяль
E161G;;Красители;Кантаксантин (Canthaxanthin). Краситель. Халяль.;Халяль
E162;;Красители;Красный свекольный (Веет red). Краситель. Халяль.;Халяль
E163;;Красители;Антоцианы (Anthocyanins), Экстракт из кожицы винограда (Grape skin extract), Экстракт из черной смородины (Blackcurrant extract). Краситель. Халяль.;Халяль
E170;;Красители;Карбонаты кальция (Calcium carbonates), Карбонат кальцция (Calcium carbonate), Гидрокарбонат кальция (Calcium hydrog- gen carbonate). Поверхностный краситель, добавка, препятствуюющая слеживанию и комкованию, стабилизатор. Халяль.;Халяль
E171;;Красители;Диоксид титана (Titanium dioxide). Краситель. Халяль.;Халяль
E172;;Красители;Оксиды железа (Iron oxides), Оксид железа (+2,+3), Чернная (Iron oxide, black), Оксид железа (+3), Красная (Iron oxide, red), Желтая (Iron oxide, yellow). Краситель. Халяль.;Халяль
E174;;Красители;Серебро (Silver). Краситель. Халяль.;Халяль
E175;;Красители;Золото (Gold). Краситель. Халяль.;Халяль
E181;;Красители;Танины пищевые (Tannins, food grade). Краситель, стабиллизатор, эмульгатор. Халяль.;Халяль
E182;;Красители;Орсейл, Орсин (Orchil). Краситель. Халяль. * * *;Халяль
E200;–;Консерванты;;Не определено
E299;Консерванты;Консерванты;Повышают срок хранения продуктов, защищая их от микробов, грибков, бактериофагов, химические стерилизующие добавки при созревании вин, дезинфектанты;Не определено
E200;;Консерванты;Сорбиновая кислота (Sorbic acid). Консервант. Халяль.;Халяль
E201;;Консерванты;Сорбат натрия (Sodium sorbate). Консервант. Халяль.;Халяль
E202;;Консерванты;Сорбат калия (Potassium sorbate). Консервант. Халяль.;Халяль
E203;;Консерванты;Сорбат кальция (Calcium sorbate). Консервант. Халяль.;Халяль
E209;;Консерванты;Пара-оксибензойной кислоты гептиловый эфир (Heptyl p- Hydroxybenzoate). Консервант. Халяль.;Халяль
E210;;Консерванты;Бензойная кислота (Benzoic Acid). Консервант. Халяль.;Халяль
E211;;Консерванты;Бензоат натрия (Sodium benzoate). Консервант. Халяль.;Халяль
E212;;Консерванты;Бензоат калия (Potassium benzoate). Консервант. Халляль.;Не определено
E213;;Консерванты;Бензоат кальция (Calcium benzoate). Консервант. Халляль.;Не определено
